Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Chromosome/scaffold name,Gene start (bp hg19),Gene end (bp hg19),Gene name,Source of gene name
ENSG00000147118,ENSG00000147118.12,ENST00000376943,ENST00000376943.8,X,47974851,48003989,ZNF182,HGNC Symbol
ENSG00000221994,ENSG00000221994.12,ENST00000428463,ENST00000428463.5,X,47983356,48071658,ZNF630,HGNC Symbol
ENSG00000171489,ENSG00000171489.10,ENST00000304355,ENST00000304355.9,X,48004336,48009729,SPACA5,HGNC Symbol
ENSG00000277541,ENSG00000277541.1,ENST00000614448,ENST00000614448.1,X,48056310,48066583,ZNF630-AS1,HGNC Symbol
ENSG00000171483,ENSG00000171483.13,ENST00000412590,ENST00000412590.6,X,48107992,48120210,SSX6P,HGNC Symbol
ENSG00000171478,ENSG00000171478.8,ENST00000304270,ENST00000304270.6,X,48130626,48132620,SPACA5B,HGNC Symbol
ENSG00000201517,ENSG00000201517.1,ENST00000364647,ENST00000364647.1,X,48153980,48154074,RNU6-707P,HGNC Symbol
ENSG00000225198,ENSG00000225198.1,ENST00000442971,ENST00000442971.1,X,48156367,48166350,SSXP3,HGNC Symbol
ENSG00000238032,ENSG00000238032.1,ENST00000440265,ENST00000440265.1,X,48177731,48178023,S100A11P5,HGNC Symbol
ENSG00000165583,ENSG00000165583.16,ENST00000311798,ENST00000311798.5,X,48186220,48196795,SSX5,HGNC Symbol
ENSG00000252856,ENSG00000252856.1,ENST00000517047,ENST00000517047.1,X,48206258,48206374,RNA5SP503,HGNC Symbol
ENSG00000231568,ENSG00000231568.1,ENST00000429428,ENST00000429428.1,X,48228833,48228959,S100A11P7,HGNC Symbol
ENSG00000126752,ENSG00000126752.8,ENST00000376919,ENST00000376919.4,X,48255392,48267444,SSX1,HGNC Symbol
ENSG00000232813,ENSG00000232813.1,ENST00000433189,ENST00000433189.1,X,48274904,48275047,S100A11P6,HGNC Symbol
ENSG00000204648,ENSG00000204648.11,ENST00000376909,ENST00000376909.6,X,48296816,48306179,SSX9P,HGNC Symbol
ENSG00000227302,ENSG00000227302.1,ENST00000417503,ENST00000417503.1,X,48322349,48326683,SSXP9,HGNC Symbol
ENSG00000270747,ENSG00000270747.1,ENST00000603331,ENST00000603331.1,X,48336899,48337169,S100A11P9,HGNC Symbol
ENSG00000165584,ENSG00000165584.16,ENST00000298396,ENST00000298396.7,X,48346427,48356707,SSX3,HGNC Symbol
ENSG00000268009,ENSG00000268009.6,ENST00000620320,ENST00000620320.4,X,48383516,48393347,SSX4,HGNC Symbol
ENSG00000269791,ENSG00000269791.6,ENST00000595235,ENST00000595235.6,X,48402082,48411960,SSX4B,HGNC Symbol
ENSG00000017483,ENSG00000017483.15,ENST00000595796,ENST00000595796.5,X,48458537,48470260,SLC38A5,HGNC Symbol
ENSG00000068438,ENSG00000068438.15,ENST00000396894,ENST00000396894.8,X,48476021,48486364,FTSJ1,HGNC Symbol
ENSG00000102312,ENSG00000102312.24,ENST00000684722,ENST00000684722.1,X,48508959,48520814,PORCN,HGNC Symbol
ENSG00000147155,ENSG00000147155.11,ENST00000276096,ENST00000276096.10,X,48521799,48528716,EBP,HGNC Symbol
ENSG00000068354,ENSG00000068354.16,ENST00000376771,ENST00000376771.9,X,48539714,48562609,TBC1D25,HGNC Symbol
ENSG00000102317,ENSG00000102317.18,ENST00000472897,ENST00000472897.5,X,48574449,48581162,RBM3,HGNC Symbol
ENSG00000220125,ENSG00000220125.1,ENST00000406301,ENST00000406301.1,X,48583093,48583339,MRPL32P1,HGNC Symbol
ENSG00000101940,ENSG00000101940.18,ENST00000470124,ENST00000470124.1,X,48590042,48608869,WDR13,HGNC Symbol
ENSG00000231725,ENSG00000231725.1,ENST00000438988,ENST00000438988.1,X,48636165,48637135,VN1R110P,HGNC Symbol
ENSG00000015285,ENSG00000015285.11,ENST00000450772,ENST00000450772.5,X,48676596,48691427,WAS,HGNC Symbol
ENSG00000101945,ENSG00000101945.17,ENST00000376687,ENST00000376687.4,X,48695554,48709016,SUV39H1,HGNC Symbol
ENSG00000206723,ENSG00000206723.1,ENST00000383996,ENST00000383996.1,X,48724455,48724561,RNU6-1056P,HGNC Symbol
ENSG00000171433,ENSG00000171433.12,ENST00000463327,ENST00000463327.1,X,48761747,48773648,GLOD5,HGNC Symbol
ENSG00000207367,ENSG00000207367.1,ENST00000384637,ENST00000384637.1,X,48776965,48777071,RNU6-29P,HGNC Symbol
ENSG00000102145,ENSG00000102145.15,ENST00000376670,ENST00000376670.9,X,48786562,48794311,GATA1,HGNC Symbol
ENSG00000094631,ENSG00000094631.21,ENST00000423941,ENST00000423941.5,X,48801377,48824982,HDAC6,HGNC Symbol
ENSG00000187682,ENSG00000187682.2,ENST00000636362,ENST00000636362.1,X,48826513,48830138,ERAS,HGNC Symbol
ENSG00000102109,ENSG00000102109.9,ENST00000218230,ENST00000218230.6,X,48831096,48835610,PCSK1N,HGNC Symbol
ENSG00000102103,ENSG00000102103.17,ENST00000651767,ENST00000651767.1,X,48890197,48903143,PQBP1,HGNC Symbol
ENSG00000126768,ENSG00000126768.12,ENST00000465150,ENST00000465150.6,X,48893447,48898143,TIMM17B,HGNC Symbol
ENSG00000102100,ENSG00000102100.16,ENST00000635285,ENST00000635285.1,X,48903180,48911958,SLC35A2,HGNC Symbol
ENSG00000102096,ENSG00000102096.9,ENST00000376509,ENST00000376509.4,X,48913182,48919024,PIM2,HGNC Symbol
ENSG00000068308,ENSG00000068308.14,ENST00000455452,ENST00000455452.5,X,48922024,48958386,OTUD5,HGNC Symbol
ENSG00000223309,ENSG00000223309.1,ENST00000411377,ENST00000411377.1,X,48959179,48959282,RNU6-722P,HGNC Symbol
ENSG00000102057,ENSG00000102057.10,ENST00000376477,ENST00000376477.5,X,48961378,48971844,KCND1,HGNC Symbol
ENSG00000068400,ENSG00000068400.13,ENST00000619149,ENST00000619149.4,X,48973720,49002264,GRIPAP1,HGNC Symbol
ENSG00000068323,ENSG00000068323.17,ENST00000493583,ENST00000493583.5,X,49028726,49043410,TFE3,HGNC Symbol
ENSG00000147144,ENSG00000147144.13,ENST00000597275,ENST00000597275.5,X,49053572,49069857,CCDC120,HGNC Symbol
ENSG00000243279,ENSG00000243279.4,ENST00000553851,ENST00000553851.3,X,49071161,49074002,PRAF2,HGNC Symbol
ENSG00000196998,ENSG00000196998.19,ENST00000465806,ENST00000465806.6,X,49074433,49101170,WDR45,HGNC Symbol
ENSG00000206936,ENSG00000206936.1,ENST00000384209,ENST00000384209.1,X,49082028,49082165,RNU4-52P,HGNC Symbol
ENSG00000068394,ENSG00000068394.11,ENST00000156109,ENST00000156109.7,X,49113407,49123735,GPKOW,HGNC Symbol
ENSG00000265033,ENSG00000265033.2,ENST00000584590,ENST00000584590.2,X,49152651,49152944,RN7SL262P,HGNC Symbol
ENSG00000269313,ENSG00000269313.5,ENST00000616266,ENST00000616266.4,X,49162564,49168483,MAGIX,HGNC Symbol
ENSG00000102007,ENSG00000102007.11,ENST00000376327,ENST00000376327.6,X,49171898,49175235,PLP2,HGNC Symbol
ENSG00000012211,ENSG00000012211.13,ENST00000599218,ENST00000599218.6,X,49174802,49186528,PRICKLE3,HGNC Symbol
ENSG00000102003,ENSG00000102003.11,ENST00000263233,ENST00000263233.9,X,49187815,49200199,SYP,HGNC Symbol
ENSG00000237341,ENSG00000237341.1,ENST00000433499,ENST00000433499.1,X,49198966,49202454,SYP-AS1,HGNC Symbol
ENSG00000102001,ENSG00000102001.13,ENST00000376251,ENST00000376251.5,X,49205063,49233371,CACNA1F,HGNC Symbol
ENSG00000230216,ENSG00000230216.1,ENST00000448722,ENST00000448722.1,X,49233956,49234501,HSPB1P2,HGNC Symbol
ENSG00000101997,ENSG00000101997.13,ENST00000376227,ENST00000376227.4,X,49235470,49250520,CCDC22,HGNC Symbol
ENSG00000049768,ENSG00000049768.17,ENST00000376207,ENST00000376207.10,X,49250438,49270477,FOXP3,HGNC Symbol
ENSG00000049769,ENSG00000049769.14,ENST00000055335,ENST00000055335.11,X,49269793,49301461,PPP1R3F,HGNC Symbol
ENSG00000215274,ENSG00000215274.5,ENST00000407599,ENST00000407599.3,X,49303669,49319844,GAGE10,HGNC Symbol
ENSG00000224659,ENSG00000224659.2,ENST00000442437,ENST00000442437.2,X,49322057,49329384,GAGE12J,HGNC Symbol
ENSG00000274274,ENSG00000274274.1,ENST00000612958,ENST00000612958.1,X,49331616,49338952,GAGE13,HGNC Symbol
ENSG00000275113,ENSG00000275113.1,ENST00000621907,ENST00000621907.1,X,49341192,49345922,GAGE2E,HGNC Symbol
ENSG00000236737,ENSG00000236737.1,ENST00000361446,ENST00000361446.5,X,49529869,49529985,GAGE12B,HGNC Symbol
ENSG00000237671,ENSG00000237671.3,ENST00000420398,ENST00000420398.2,X,49532211,49539538,GAGE12C,HGNC Symbol
ENSG00000227488,ENSG00000227488.2,ENST00000405679,ENST00000405679.3,X,49541767,49549094,GAGE12D,HGNC Symbol
ENSG00000236362,ENSG00000236362.8,ENST00000639028,ENST00000639028.1,X,49551278,49568218,GAGE12F,HGNC Symbol
ENSG00000216649,ENSG00000216649.4,ENST00000381698,ENST00000381698.4,X,49551316,49558649,GAGE12E,HGNC Symbol
ENSG00000215269,ENSG00000215269.5,ENST00000445148,ENST00000445148.1,X,49570434,49577754,GAGE12G,HGNC Symbol
ENSG00000224902,ENSG00000224902.5,ENST00000381722,ENST00000381722.1,X,49579983,49587301,GAGE12H,HGNC Symbol
ENSG00000189064,ENSG00000189064.8,ENST00000362097,ENST00000362097.1,X,49589529,49596827,GAGE2A,HGNC Symbol
ENSG00000205777,ENSG00000205777.18,ENST00000381709,ENST00000381709.6,X,49599025,49608536,GAGE1,HGNC Symbol
ENSG00000213856,ENSG00000213856.3,ENST00000423609,ENST00000423609.1,X,49632500,49633349,VDAC1P2,HGNC Symbol
ENSG00000227391,ENSG00000227391.1,ENST00000438101,ENST00000438101.1,X,49664844,49668680,SALL1P1,HGNC Symbol
ENSG00000068985,ENSG00000068985.5,ENST00000376150,ENST00000376150.4,X,49687447,49695984,PAGE1,HGNC Symbol
ENSG00000101951,ENSG00000101951.17,ENST00000376141,ENST00000376141.5,X,49829260,49834264,PAGE4,HGNC Symbol
ENSG00000234390,ENSG00000234390.4,ENST00000437322,ENST00000437322.2,X,49876724,49879241,USP27X-DT,HGNC Symbol
ENSG00000273820,ENSG00000273820.2,ENST00000621775,ENST00000621775.2,X,49879484,49882558,USP27X,HGNC Symbol
ENSG00000220132,ENSG00000220132.1,ENST00000402231,ENST00000402231.1,X,49911620,49912362,CPSF1P2,HGNC Symbol
ENSG00000171365,ENSG00000171365.17,ENST00000376088,ENST00000376088.7,X,49922596,50099235,CLCN5,HGNC Symbol
ENSG00000201341,ENSG00000201341.1,ENST00000364471,ENST00000364471.1,X,49945336,49945442,RNU6-421P,HGNC Symbol
ENSG00000207758,ENSG00000207758.1,ENST00000385025,ENST00000385025.1,X,50003148,50003238,MIR532,HGNC Symbol
ENSG00000207768,ENSG00000207768.3,ENST00000385034,ENST00000385034.3,X,50003503,50003588,MIR188,HGNC Symbol
ENSG00000207785,ENSG00000207785.1,ENST00000385051,ENST00000385051.1,X,50008431,50008514,MIR500A,HGNC Symbol
ENSG00000208015,ENSG00000208015.1,ENST00000385280,ENST00000385280.1,X,50008964,50009028,MIR362,HGNC Symbol
ENSG00000211538,ENSG00000211538.1,ENST00000390204,ENST00000390204.1,X,50009722,50009805,MIR501,HGNC Symbol
ENSG00000239057,ENSG00000239057.2,ENST00000458843,ENST00000458843.2,X,50010672,50010750,MIR500B,HGNC Symbol
ENSG00000207970,ENSG00000207970.3,ENST00000385235,ENST00000385235.3,X,50013241,50013337,MIR660,HGNC Symbol
ENSG00000272080,ENSG00000272080.1,ENST00000606349,ENST00000606349.1,X,50014598,50014683,MIR502,HGNC Symbol
ENSG00000181977,ENSG00000181977.3,ENST00000419078,ENST00000419078.1,X,50156159,50156371,PYY3,HGNC Symbol
ENSG00000147081,ENSG00000147081.15,ENST00000358526,ENST00000358526.7,X,50190777,50201007,AKAP4,HGNC Symbol
ENSG00000147082,ENSG00000147082.18,ENST00000493507,ENST00000493507.5,X,50202713,50351914,CCNB3,HGNC Symbol
ENSG00000274588,ENSG00000274588.2,ENST00000611977,ENST00000611977.2,X,50365409,50470825,DGKK,HGNC Symbol
ENSG00000158352,ENSG00000158352.17,ENST00000289292,ENST00000289292.11,X,50591642,50814302,SHROOM4,HGNC Symbol
ENSG00000222303,ENSG00000222303.1,ENST00000410371,ENST00000410371.1,X,50649641,50649740,RNU6-935P,HGNC Symbol
ENSG00000226881,ENSG00000226881.5,ENST00000475267,ENST00000475267.1,X,50905438,50905866,H3P44,HGNC Symbol
ENSG00000130385,ENSG00000130385.6,ENST00000252677,ENST00000252677.4,X,50910735,50916641,BMP15,HGNC Symbol
ENSG00000238190,ENSG00000238190.1,ENST00000453854,ENST00000453854.1,X,50931114,50931548,HMGB1P15,HGNC Symbol
ENSG00000230317,ENSG00000230317.2,ENST00000442994,ENST00000442994.1,X,51095836,51224432,LINC01284,HGNC Symbol
ENSG00000122824,ENSG00000122824.11,ENST00000376006,ENST00000376006.7,X,51332231,51337525,NUDT10,HGNC Symbol
ENSG00000187690,ENSG00000187690.4,ENST00000342995,ENST00000342995.4,X,51406948,51408843,EZHIP,HGNC Symbol
ENSG00000196368,ENSG00000196368.5,ENST00000375992,ENST00000375992.4,X,51490011,51496592,NUDT11,HGNC Symbol
ENSG00000234766,ENSG00000234766.2,ENST00000448761,ENST00000448761.1,X,51498490,51511005,LINC01496,HGNC Symbol
ENSG00000224109,ENSG00000224109.4,ENST00000417339,ENST00000417339.4,X,51617020,51618912,CENPVL3,HGNC Symbol
ENSG00000283093,ENSG00000283093.1,ENST00000634648,ENST00000634648.1,X,51681212,51682831,CENPVL2,HGNC Symbol
ENSG00000223591,ENSG00000223591.5,ENST00000602548,ENST00000602548.2,X,51710512,51712131,CENPVL1,HGNC Symbol
ENSG00000189369,ENSG00000189369.9,ENST00000340438,ENST00000340438.6,X,51743442,51746232,GSPT2,HGNC Symbol
ENSG00000179222,ENSG00000179222.18,ENST00000375772,ENST00000375772.7,X,51803007,51902354,MAGED1,HGNC Symbol
ENSG00000252377,ENSG00000252377.1,ENST00000516568,ENST00000516568.1,X,51870706,51870809,RNU6-504P,HGNC Symbol
ENSG00000232951,ENSG00000232951.1,ENST00000442031,ENST00000442031.1,X,51921864,51922499,IPO7P1,HGNC Symbol
ENSG00000237528,ENSG00000237528.1,ENST00000451170,ENST00000451170.1,X,51923552,51923740,UQCR10P1,HGNC Symbol
ENSG00000232562,ENSG00000232562.1,ENST00000411928,ENST00000411928.1,X,51979223,51980012,TPMTP3,HGNC Symbol
ENSG00000187243,ENSG00000187243.16,ENST00000490581,ENST00000490581.6,X,52061827,52069248,MAGED4B,HGNC Symbol
ENSG00000221705,ENSG00000221705.1,ENST00000408778,ENST00000408778.1,X,52063347,52063474,SNORA11E,HGNC Symbol
ENSG00000154545,ENSG00000154545.17,ENST00000599522,ENST00000599522.7,X,52184876,52192268,MAGED4,HGNC Symbol
ENSG00000221475,ENSG00000221475.1,ENST00000408548,ENST00000408548.1,X,52190621,52190748,SNORA11D,HGNC Symbol
ENSG00000275335,ENSG00000275335.1,ENST00000619508,ENST00000619508.1,X,52336557,52336642,MIR8088,HGNC Symbol
ENSG00000155622,ENSG00000155622.7,ENST00000286049,ENST00000286049.3,X,52369021,52375680,XAGE2,HGNC Symbol
ENSG00000275643,ENSG00000275643.1,ENST00000611682,ENST00000611682.1,X,52485046,52485912,RBM22P6,HGNC Symbol
ENSG00000204379,ENSG00000204379.11,ENST00000375602,ENST00000375602.2,X,52495808,52500812,XAGE1A,HGNC Symbol
ENSG00000223395,ENSG00000223395.2,ENST00000421321,ENST00000421321.2,X,52509903,52510182,RBM22P7,HGNC Symbol
ENSG00000204382,ENSG00000204382.11,ENST00000494039,ENST00000494039.1,X,52512077,52520803,XAGE1B,HGNC Symbol
ENSG00000185319,ENSG00000185319.5,ENST00000451349,ENST00000451349.1,X,52598494,52603289,SSXP4,HGNC Symbol
ENSG00000197185,ENSG00000197185.7,ENST00000453640,ENST00000453640.1,X,52606535,52611758,SSXP1,HGNC Symbol
ENSG00000157965,ENSG00000157965.12,ENST00000674606,ENST00000674606.1,X,52622935,52633948,SSX8P,HGNC Symbol
ENSG00000187754,ENSG00000187754.9,ENST00000298181,ENST00000298181.6,X,52644061,52654900,SSX7,HGNC Symbol
ENSG00000222608,ENSG00000222608.1,ENST00000410676,ENST00000410676.1,X,52665231,52665347,RNA5SP504,HGNC Symbol
ENSG00000225508,ENSG00000225508.1,ENST00000443473,ENST00000443473.1,X,52672718,52677051,SSXP5,HGNC Symbol
ENSG00000237275,ENSG00000237275.1,ENST00000440592,ENST00000440592.1,X,52687363,52687633,S100A11P10,HGNC Symbol
ENSG00000241476,ENSG00000241476.8,ENST00000336777,ENST00000336777.9,X,52696896,52707189,SSX2,HGNC Symbol
ENSG00000268447,ENSG00000268447.6,ENST00000616191,ENST00000616191.4,X,52751132,52790305,SSX2B,HGNC Symbol
ENSG00000269281,ENSG00000269281.2,ENST00000599675,ENST00000599675.2,X,52770809,52771080,S100A11P8,HGNC Symbol
ENSG00000204363,ENSG00000204363.5,ENST00000375511,ENST00000375511.4,X,52796144,52797427,SPANXN5,HGNC Symbol
ENSG00000171405,ENSG00000171405.13,ENST00000375503,ENST00000375503.7,X,52811287,52818301,XAGE5,HGNC Symbol
ENSG00000224781,ENSG00000224781.1,ENST00000458691,ENST00000458691.1,X,52832704,52833899,EIF4A2P4,HGNC Symbol
ENSG00000171402,ENSG00000171402.15,ENST00000375491,ENST00000375491.7,X,52862525,52868083,XAGE3,HGNC Symbol
ENSG00000179304,ENSG00000179304.17,ENST00000610405,ENST00000610405.4,X,52891306,52908560,FAM156B,HGNC Symbol
ENSG00000268350,ENSG00000268350.8,ENST00000613284,ENST00000613284.1,X,52926402,52995472,FAM156A,HGNC Symbol
ENSG00000184194,ENSG00000184194.6,ENST00000332582,ENST00000332582.5,X,53048789,53080615,GPR173,HGNC Symbol
ENSG00000184205,ENSG00000184205.14,ENST00000553557,ENST00000553557.5,X,53082367,53088540,TSPYL2,HGNC Symbol
ENSG00000232593,ENSG00000232593.7,ENST00000605526,ENST00000605526.5,X,53094145,53170914,KANTR,HGNC Symbol
ENSG00000231340,ENSG00000231340.1,ENST00000428275,ENST00000428275.1,X,53142832,53143913,ACTG1P10,HGNC Symbol
ENSG00000126012,ENSG00000126012.12,ENST00000452825,ENST00000452825.7,X,53191321,53225422,KDM5C,HGNC Symbol
ENSG00000276575,ENSG00000276575.1,ENST00000613497,ENST00000613497.1,X,53195411,53195488,MIR6895,HGNC Symbol
ENSG00000277474,ENSG00000277474.1,ENST00000622662,ENST00000622662.1,X,53198889,53198945,MIR6894,HGNC Symbol
ENSG00000235262,ENSG00000235262.1,ENST00000412242,ENST00000412242.1,X,53212408,53214679,KDM5C-IT1,HGNC Symbol
ENSG00000124313,ENSG00000124313.18,ENST00000638869,ENST00000638869.1,X,53225828,53321350,IQSEC2,HGNC Symbol
ENSG00000226299,ENSG00000226299.2,ENST00000432596,ENST00000432596.2,X,53322990,53323822,RPSAP62,HGNC Symbol
ENSG00000234413,ENSG00000234413.1,ENST00000454989,ENST00000454989.1,X,53340986,53341505,MPV17L2P1,HGNC Symbol
ENSG00000072501,ENSG00000072501.19,ENST00000675504,ENST00000675504.1,X,53374149,53422728,SMC1A,HGNC Symbol
ENSG00000278204,ENSG00000278204.1,ENST00000613267,ENST00000613267.1,X,53405673,53405765,MIR6857,HGNC Symbol
ENSG00000158423,ENSG00000158423.17,ENST00000329209,ENST00000329209.9,X,53422690,53431120,RIBC1,HGNC Symbol
ENSG00000072506,ENSG00000072506.14,ENST00000477706,ENST00000477706.1,X,53431258,53434370,HSD17B10,HGNC Symbol
ENSG00000235416,ENSG00000235416.1,ENST00000425348,ENST00000425348.1,X,53456273,53457029,TIPINP1,HGNC Symbol
ENSG00000199422,ENSG00000199422.1,ENST00000362552,ENST00000362552.1,X,53462209,53462310,VTRNA3-1P,HGNC Symbol
ENSG00000086758,ENSG00000086758.16,ENST00000426907,ENST00000426907.5,X,53532096,53686728,HUWE1,HGNC Symbol
ENSG00000271886,ENSG00000271886.1,ENST00000606724,ENST00000606724.1,X,53556223,53556341,MIR98,HGNC Symbol
ENSG00000208012,ENSG00000208012.1,ENST00000385277,ENST00000385277.1,X,53557192,53557274,MIRLET7F2,HGNC Symbol
ENSG00000229037,ENSG00000229037.2,ENST00000428215,ENST00000428215.2,X,53807776,53808623,MRPL32P2,HGNC Symbol
ENSG00000235916,ENSG00000235916.1,ENST00000455300,ENST00000455300.1,X,53825887,53826309,MRPS18CP7,HGNC Symbol
ENSG00000201618,ENSG00000201618.1,ENST00000364748,ENST00000364748.1,X,53909054,53909161,RNA5SP505,HGNC Symbol
ENSG00000172943,ENSG00000172943.20,ENST00000357988,ENST00000357988.9,X,53936676,54048958,PHF8,HGNC Symbol
ENSG00000184083,ENSG00000184083.12,ENST00000375180,ENST00000375180.7,X,54068324,54183281,FAM120C,HGNC Symbol
ENSG00000224949,ENSG00000224949.2,ENST00000426602,ENST00000426602.2,X,54147372,54147659,RPL37P24,HGNC Symbol
ENSG00000196632,ENSG00000196632.10,ENST00000375169,ENST00000375169.7,X,54192823,54358642,WNK3,HGNC Symbol
ENSG00000234566,ENSG00000234566.1,ENST00000451120,ENST00000451120.1,X,54223324,54224062,RPL7AP71,HGNC Symbol
ENSG00000207104,ENSG00000207104.1,ENST00000384376,ENST00000384376.1,X,54343546,54343652,RNU6-434P,HGNC Symbol
ENSG00000158526,ENSG00000158526.8,ENST00000375151,ENST00000375151.5,X,54440404,54448032,TSR2,HGNC Symbol
ENSG00000102302,ENSG00000102302.8,ENST00000375135,ENST00000375135.4,X,54445454,54496234,FGD1,HGNC Symbol
ENSG00000130119,ENSG00000130119.17,ENST00000674229,ENST00000674229.1,X,54530183,54621521,GNL3L,HGNC Symbol
ENSG00000215197,ENSG00000215197.4,ENST00000426407,ENST00000426407.2,X,54671985,54672638,PGAM4P1,HGNC Symbol
ENSG00000102313,ENSG00000102313.9,ENST00000218436,ENST00000218436.7,X,54748918,54798255,ITIH6,HGNC Symbol
ENSG00000102316,ENSG00000102316.17,ENST00000375068,ENST00000375068.6,X,54807599,54816015,MAGED2,HGNC Symbol
ENSG00000221716,ENSG00000221716.1,ENST00000408789,ENST00000408789.1,X,54814370,54814497,SNORA11,HGNC Symbol
ENSG00000067445,ENSG00000067445.21,ENST00000411534,ENST00000411534.1,X,54920462,54931431,TRO,HGNC Symbol
ENSG00000221750,ENSG00000221750.1,ENST00000408823,ENST00000408823.1,X,54927305,54927433,SNORA11G,HGNC Symbol
ENSG00000158571,ENSG00000158571.11,ENST00000375006,ENST00000375006.8,X,54932961,54998534,PFKFB1,HGNC Symbol
ENSG00000169188,ENSG00000169188.5,ENST00000374987,ENST00000374987.4,X,55000363,55009057,APEX2,HGNC Symbol
ENSG00000158578,ENSG00000158578.21,ENST00000396198,ENST00000396198.7,X,55009055,55030977,ALAS2,HGNC Symbol
ENSG00000234466,ENSG00000234466.1,ENST00000413370,ENST00000413370.1,X,55054945,55055838,HDGFL3P1,HGNC Symbol
ENSG00000238269,ENSG00000238269.9,ENST00000374971,ENST00000374971.2,X,55075030,55078909,PAGE2B,HGNC Symbol
ENSG00000234068,ENSG00000234068.7,ENST00000374968,ENST00000374968.9,X,55089018,55092842,PAGE2,HGNC Symbol
ENSG00000182518,ENSG00000182518.13,ENST00000332132,ENST00000332132.8,X,55143102,55161310,FAM104B,HGNC Symbol
ENSG00000229760,ENSG00000229760.1,ENST00000433928,ENST00000433928.1,X,55178207,55178737,MTCO1P52,HGNC Symbol
ENSG00000231947,ENSG00000231947.1,ENST00000453434,ENST00000453434.1,X,55179194,55179999,MTND2P24,HGNC Symbol
ENSG00000238047,ENSG00000238047.1,ENST00000441241,ENST00000441241.1,X,55180377,55181277,MTND1P30,HGNC Symbol
ENSG00000256045,ENSG00000256045.3,ENST00000545075,ENST00000545075.3,X,55181392,55182442,MTRNR2L10,HGNC Symbol
ENSG00000158639,ENSG00000158639.13,ENST00000289619,ENST00000289619.9,X,55220346,55224108,PAGE5,HGNC Symbol
ENSG00000204279,ENSG00000204279.8,ENST00000374951,ENST00000374951.6,X,55258415,55264916,PAGE3,HGNC Symbol
ENSG00000283334,ENSG00000283334.1,ENST00000636519,ENST00000636519.1,X,55451495,55451582,MIR4536-1,HGNC Symbol
ENSG00000266328,ENSG00000266328.3,ENST00000583537,ENST00000583537.3,X,55451495,55451582,MIR4536-2,HGNC Symbol
ENSG00000187601,ENSG00000187601.5,ENST00000342972,ENST00000342972.3,X,55452127,55453566,MAGEH1,HGNC Symbol
ENSG00000247746,ENSG00000247746.5,ENST00000500968,ENST00000500968.4,X,55484616,55489848,USP51,HGNC Symbol
ENSG00000235136,ENSG00000235136.1,ENST00000448334,ENST00000448334.1,X,55599663,55600106,PSMA5P1,HGNC Symbol
ENSG00000189299,ENSG00000189299.7,ENST00000339140,ENST00000339140.5,X,55623400,55626192,FOXR2,HGNC Symbol
ENSG00000083750,ENSG00000083750.13,ENST00000374941,ENST00000374941.9,X,55717749,55758774,RRAGB,HGNC Symbol
ENSG00000214745,ENSG00000214745.2,ENST00000398901,ENST00000398901.2,X,55961208,55962482,GOT2P6,HGNC Symbol
ENSG00000102349,ENSG00000102349.18,ENST00000476898,ENST00000476898.1,X,56232356,56291531,KLF8,HGNC Symbol
ENSG00000234135,ENSG00000234135.2,ENST00000434984,ENST00000434984.2,X,56242937,56243409,RPL23AP83,HGNC Symbol
ENSG00000188021,ENSG00000188021.9,ENST00000338222,ENST00000338222.7,X,56563627,56567868,UBQLN2,HGNC Symbol
ENSG00000204272,ENSG00000204272.13,ENST00000637096,ENST00000637096.1,X,56729241,56819179,NBDY,HGNC Symbol
ENSG00000237748,ENSG00000237748.1,ENST00000421129,ENST00000421129.1,X,56737242,56737577,UQCRBP1,HGNC Symbol
ENSG00000204271,ENSG00000204271.13,ENST00000640101,ENST00000640101.1,X,56818298,56995827,SPIN3,HGNC Symbol
ENSG00000237708,ENSG00000237708.1,ENST00000404529,ENST00000404529.2,X,57068914,57069685,SPIN2P1,HGNC Symbol
ENSG00000186787,ENSG00000186787.10,ENST00000460948,ENST00000460948.1,X,57118551,57121548,SPIN2B,HGNC Symbol
ENSG00000147059,ENSG00000147059.8,ENST00000374908,ENST00000374908.1,X,57134530,57137625,SPIN2A,HGNC Symbol
ENSG00000231765,ENSG00000231765.1,ENST00000423543,ENST00000423543.1,X,57229034,57229415,PPP1R11P2,HGNC Symbol
ENSG00000165591,ENSG00000165591.7,ENST00000374900,ENST00000374900.5,X,57286706,57489193,FAAH2,HGNC Symbol
ENSG00000231831,ENSG00000231831.1,ENST00000413059,ENST00000413059.1,X,57392646,57395409,MTHFD1P1,HGNC Symbol
ENSG00000198455,ENSG00000198455.5,ENST00000374888,ENST00000374888.3,X,57592011,57597477,ZXDB,HGNC Symbol
ENSG00000215174,ENSG00000215174.2,ENST00000434992,ENST00000434992.1,X,57677067,57680260,NLRP2B,HGNC Symbol
ENSG00000227427,ENSG00000227427.1,ENST00000416450,ENST00000416450.1,X,57766320,57767292,MDH1P1,HGNC Symbol
ENSG00000198205,ENSG00000198205.7,ENST00000358697,ENST00000358697.6,X,57905430,57910458,ZXDA,HGNC Symbol
ENSG00000228004,ENSG00000228004.1,ENST00000449268,ENST00000449268.1,X,57933837,57934803,MYCLP2,HGNC Symbol
ENSG00000235124,ENSG00000235124.1,ENST00000453110,ENST00000453110.1,X,57984686,57986133,KRT8P17,HGNC Symbol
