Composite Element REF,Chromosome,Start,End,Gene_Symbol,Gene_Type,Transcript_ID,Position_to_TSS,CGI_Coordinate,Feature_Type
cg04700060,chrX,130268955,130268956,ZNF280C;ZNF280C,protein_coding;protein_coding,ENST00000370978.7;ENST00000447817.1,-55;-71,CGI:chrX:130268484-130269114,Island
cg04702045,chrX,68433756,68433757,OPHN1;OPHN1,protein_coding;protein_coding,ENST00000355520.5;ENST00000491714.1,50;158,CGI:chrX:68433104-68434065,Island
cg04712194,chrX,154411442,154411443,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000014935.6;ENST00000309585.8;ENST00000369809.4;ENST00000393638.4;ENST00000424626.4;ENST00000432135.1;ENST00000451865.4;ENST00000369776.7;ENST00000426231.4;ENST00000439735.2;ENST00000475699.4;ENST00000476679.4;ENST00000479875.1;ENST00000483780.4;ENST00000601016.4;ENST00000612012.3;ENST00000612460.3;ENST00000613002.3;ENST00000613634.3;ENST00000614595.1;ENST00000615658.3;ENST00000615986.3;ENST00000616020.3;ENST00000617701.3;ENST00000620808.3;ENST00000621647.1,-1402;671;649;649;650;648;642;-318;-720;-389;-100;-1274;-1280;-762;-115;-115;-115;-100;-83;-184;-77;-120;-100;-121;-133;-118,CGI:chrX:154411398-154412338,Island
cg04784122,chrX,154805413,154805414,MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1;MPP1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000369531.1;ENST00000369534.6;ENST00000393529.4;ENST00000393531.4;ENST00000413259.6;ENST00000417435.4;ENST00000428488.1;ENST00000439370.4;ENST00000453245.4;ENST00000471821.1;ENST00000475943.4;ENST00000494170.1,86;109;15595;-15;115;115;73;44;73;56;65;29,CGI:chrX:154805091-154805660,Island
cg04787237,chrX,153795091,153795092,IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000217901.8;ENST00000370092.6;ENST00000370093.4;ENST00000427365.5;ENST00000444450.4;ENST00000461215.2;ENST00000491235.1;ENST00000495356.4;ENST00000497043.4;ENST00000619865.3;ENST00000320857.6;ENST00000370085.3;ENST00000370086.6;ENST00000370087.4;ENST00000460616.4;ENST00000471724.4;ENST00000471880.4;ENST00000482902.4;ENST00000485612.4;ENST00000486204.4;ENST00000491833.4,-567;-578;-709;-734;-731;-744;-765;-755;-734;-567;1574;416;451;899;431;414;411;641;-1162;42;915,CGI:chrX:153793820-153795102,Island
cg04944936,chrX,54183161,54183162,FAM120C;FAM120C;FAM120C;FAM120C,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000328235.4;ENST00000375180.5;ENST00000477084.1;ENST00000497680.1,95;95;121;-382,CGI:chrX:54182506-54183309,Island
cg05045028,chrX,130165950,130165951,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000287295.6;ENST00000319908.6;ENST00000346424.5;ENST00000416073.5;ENST00000527892.4;ENST00000529877.1;ENST00000535724.4,-62;-70;-269;-285;-285;-190;-62,CGI:chrX:130165458-130166131,Island
cg05045659,chrX,68132942,68132943,AKIRIN1P2;OPHN1,processed_pseudogene;protein_coding,ENST00000440655.2;ENST00000355520.5,73;300864,CGI:chrX:68132808-68133081,Island
cg05096434,chrX,107000174,107000175,MORC4;MORC4,protein_coding;protein_coding,ENST00000255495.7;ENST00000355610.7,-95;71,CGI:chrX:106999276-107000363,Island
cg05100261,chrX,154398413,154398414,RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;XX-FW83563B9.5,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000344746.7;ENST00000369817.5;ENST00000406022.5;ENST00000424325.5;ENST00000427682.4;ENST00000428169.1;ENST00000436473.4;ENST00000449494.4;ENST00000451365.1;ENST00000458500.4;ENST00000467168.4;ENST00000479366.1;ENST00000482732.1;ENST00000485196.4;ENST00000489200.4;ENST00000491035.4;ENST00000492572.4;ENST00000618723.3;ENST00000624054.1,40;1258;-478;182;-1471;-1471;45;-1471;-954;34;-85;663;24;33;35;35;8457;182;404,CGI:chrX:154397754-154398983,Island
cg05104476,chrX,49235616,49235617,CCDC22;CCDC22;CCDC22;HSPB1P2,protein_coding;protein_coding;protein_coding;processed_pseudogene,ENST00000376227.3;ENST00000490300.1;ENST00000496651.4;ENST00000448722.1,148;-1278;119;-1114,CGI:chrX:49235474-49235773,Island
cg05137263,chrX,30309508,30309509,NR0B1;NR0B1,protein_coding;protein_coding,ENST00000378963.1;ENST00000378970.4,-1019;91,CGI:chrX:30308322-30309551,Island
cg05184682,chrX,21839678,21839679,MBTPS2;MBTPS2;MBTPS2,protein_coding;protein_coding;protein_coding,ENST00000365779.2;ENST00000379484.8;ENST00000465888.1,23;41;41,CGI:chrX:21839473-21840086,Island
cg05192472,chrX,107206427,107206428,NUP62CL;NUP62CL;NUP62CL;PIH1D3;PIH1D3;PIH1D3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000372466.7;ENST00000421752.1;ENST00000484614.4;ENST00000336387.4;ENST00000372453.6;ENST00000535523.4,7;7;7;-722;-206;-206,CGI:chrX:107205799-107206510,Island
cg05206294,chrX,119574412,119574413,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,-125;-56;-160;-138;-135;-337;-167;-152;-152,CGI:chrX:119574330-119575073,Island
cg05223760,chrX,49269780,49269781,PPP1R3F;PPP1R3F;PPP1R3F;PPP1R3F,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000055335.9;ENST00000466508.4;ENST00000471261.2;ENST00000495799.4,-75;-64;-842;-91,CGI:chrX:49269182-49270737,Island
cg05257947,chrX,11758275,11758276,MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000312196.7;ENST00000337339.5;ENST00000361672.5;ENST00000380692.5;ENST00000380693.6;ENST00000398527.5;ENST00000421368.2;ENST00000468149.4;ENST00000476743.4;ENST00000478462.4,115;37;115;-1354;-1278;-308;-312;21;-308;-1367,CGI:chrX:11757665-11758817,Island
cg05370638,chrX,37847483,37847484,DYNLT3;DYNLT3;DYNLT3;RP5-972B16.2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378578.7;ENST00000378581.6;ENST00000432389.2;ENST00000465127.1,155;32;-74;498152,CGI:chrX:37847042-37847719,Island
cg05385973,chrX,37571524,37571525,LANCL3;LANCL3;LANCL3;RP5-972B16.2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378619.3;ENST00000378621.6;ENST00000614025.3;ENST00000465127.1,-129;-46;-46;222193,CGI:chrX:37571453-37572531,Island
cg05397816,chrX,118823823,118823824,ZCCHC12,protein_coding,ENST00000310164.2,32,CGI:chrX:118823652-118823974,Island
cg05427163,chrX,48539550,48539551,TBC1D25;TBC1D25;TBC1D25;TBC1D25;TBC1D25,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376771.7;ENST00000418627.1;ENST00000476141.1;ENST00000481090.5;ENST00000494495.1,92;-249;-222;-188;-221,CGI:chrX:48539371-48540141,Island
cg05438092,chrX,154374698,154374699,FLNA;FLNA;FLNA,protein_coding;protein_coding;protein_coding,ENST00000369850.6;ENST00000422373.4;ENST00000610817.3,-71;-59;-59,CGI:chrX:154374352-154374901,Island
cg05442715,chrX,23908024,23908025,APOO;APOO;CXorf58,protein_coding;protein_coding;protein_coding,ENST00000379226.7;ENST00000490078.1;ENST00000379211.6,-89;-120;222,CGI:chrX:23907473-23908198,Island
cg05452887,chrX,119871450,119871451,NDUFA1;RNF113A,protein_coding;protein_coding,ENST00000371437.4;ENST00000371442.3,-38;378,CGI:chrX:119871288-119872254,Island
cg05476089,chrX,152830745,152830746,CETN2;CETN2;NSDHL;NSDHL;NSDHL,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370277.3;ENST00000493482.1;ENST00000370274.6;ENST00000432467.1;ENST00000440023.4,33;-1047;-223;-253;-223,CGI:chrX:152830605-152831207,Island
cg05494459,chrX,48475949,48475950,FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000019019.5;ENST00000348411.2;ENST00000396894.7;ENST00000473235.4;ENST00000485486.1;ENST00000487353.4;ENST00000492562.4,-213;-213;-73;-270;-255;-312;-205,CGI:chrX:48475841-48476648,Island
cg05511752,chrX,71118806,71118807,MED12;MED12;MED12;MED12,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000333646.9;ENST00000374080.6;ENST00000374102.4;ENST00000429213.2,249;82;110;-30,CGI:chrX:71118430-71119016,Island
cg05594230,chrX,71492553,71492554,INGX;INGX;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1;Y_RNA,transcribed_processed_pseudogene;transcribed_processed_pseudogene;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;misc_RNA,ENST00000359239.3;ENST00000489074.2;ENST00000373775.7;ENST00000437147.6;ENST00000461764.4;ENST00000462588.4;ENST00000467309.4;ENST00000468167.4;ENST00000485087.4;ENST00000497222.1;ENST00000362881.1,376;-103;85873;85873;69394;69394;32882;69394;69394;240;-1385,CGI:chrX:71492199-71492971,Island
cg05605384,chrX,78139780,78139781,TAF9B;TAF9B,protein_coding;protein_coding,ENST00000341864.5;ENST00000480681.1,-73;-157,CGI:chrX:78139334-78139795,Island
cg05630320,chrX,134460086,134460087,HPRT1;HPRT1,protein_coding;protein_coding,ENST00000298556.7;ENST00000462974.4,-68;-266,CGI:chrX:134459883-134460798,Island
cg05707815,chrX,72714385,72714386,PHKA1;PHKA1;PHKA1;PHKA1;PHKA1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000339490.6;ENST00000373539.3;ENST00000373542.7;ENST00000373545.6;ENST00000541944.4,-203;-126;-344;-65;-203,CGI:chrX:72713712-72714417,Island
cg05799859,chrX,154516288,154516289,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000322269.9;ENST00000359889.8;ENST00000369641.6;ENST00000369643.4;ENST00000393572.4;ENST00000412894.4;ENST00000416319.4;ENST00000419205.4;ENST00000421517.4;ENST00000426266.4;ENST00000433619.2;ENST00000434658.5;ENST00000440318.4;ENST00000442929.1;ENST00000447601.5;ENST00000449971.4;ENST00000457212.4;ENST00000492763.1;ENST00000497506.4;ENST00000621967.3,-45;-51;-49;-171;-127;-117;-72;-45;-122;-70;-58;-45;-466;-78;-48;-57;-50;-122;-129;-45,CGI:chrX:154515887-154516507,Island
cg05806018,chrX,148501000,148501001,AC002368.4;AFF2;AFF2;AFF2;AFF2,antisense;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000456981.1;ENST00000342251.6;ENST00000370457.8;ENST00000370458.4;ENST00000370460.5,-384;291;-99;-10;380,CGI:chrX:148500817-148501763,Island
cg05849875,chrX,152638174,152638175,GABRQ,protein_coding,ENST00000598523.2,-10,CGI:chrX:152637754-152638493,Island
cg05905814,chrX,150983336,150983337,HMGB3;HMGB3;HMGB3;HMGB3,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000325307.10;ENST00000419110.4;ENST00000448905.5;ENST00000455596.4,49;2826;-71;-50,CGI:chrX:150982633-150984733,Island
cg05935584,chrX,150983350,150983351,HMGB3;HMGB3;HMGB3;HMGB3,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000325307.10;ENST00000419110.4;ENST00000448905.5;ENST00000455596.4,63;2840;-57;-36,CGI:chrX:150982633-150984733,Island
cg05958126,chrX,19515340,19515341,MAP3K15,protein_coding,ENST00000338883.7,-78,CGI:chrX:19515209-19515643,Island
cg05994819,chrX,104166563,104166564,FAM199X,protein_coding,ENST00000493442.1,-58,CGI:chrX:104166240-104167111,Island
cg06042004,chrX,154479371,154479372,LAGE3;LAGE3,protein_coding;protein_coding,ENST00000357360.4;ENST00000621786.1,-113;-458,CGI:chrX:154478589-154479477,Island
cg06051391,chrX,132218265,132218266,RAP2C;RAP2C;RAP2C;RAP2C;RAP2C;RAP2C-AS1;RAP2C-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000342983.5;ENST00000370874.1;ENST00000460462.1;ENST00000490400.1;ENST00000620646.3;ENST00000421483.5;ENST00000441399.2,-140;1169;68;1179;1216;1117;-243,CGI:chrX:132217503-132218507,Island
cg06072560,chrX,100820390,100820391,CSTF2;CSTF2;CSTF2;CSTF2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000372972.5;ENST00000413437.1;ENST00000415585.5;ENST00000475126.4,-12;-147;30;-28,CGI:chrX:100820243-100820570,Island
cg06079963,chrX,24693877,24693878,POLA1;POLA1;POLA1,protein_coding;protein_coding;protein_coding,ENST00000379059.6;ENST00000379068.6;ENST00000611764.1,-71;-43;-71,CGI:chrX:24693513-24694167,Island
cg06093412,chrX,47659195,47659196,UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,-33;-77;-42;-87;341;361,CGI:chrX:47658616-47659451,Island
cg06098232,chrX,149938481,149938482,CXorf40B;CXorf40B;CXorf40B;CXorf40B;CXorf40B;CXorf40B;CXorf40B;LINC00894;LINC00894,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000355203.5;ENST00000370404.4;ENST00000370406.6;ENST00000370409.6;ENST00000462691.4;ENST00000483447.1;ENST00000497550.1;ENST00000449111.4;ENST00000458274.1,-966;-21;331;-8;-45;-19;220;-148;-1259,CGI:chrX:149937895-149938705,Island
cg06124711,chrX,154411664,154411665,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000309585.8;ENST00000369809.4;ENST00000393638.4;ENST00000424626.4;ENST00000432135.1;ENST00000451865.4;ENST00000369776.7;ENST00000426231.4;ENST00000439735.2;ENST00000475699.4;ENST00000476679.4;ENST00000476800.1;ENST00000479875.1;ENST00000483780.4;ENST00000601016.4;ENST00000612012.3;ENST00000612460.3;ENST00000613002.3;ENST00000613634.3;ENST00000614595.1;ENST00000615658.3;ENST00000615986.3;ENST00000616020.3;ENST00000617701.3;ENST00000620808.3;ENST00000621647.1,449;427;427;428;426;420;-96;-498;-167;122;-1052;-1428;-1058;-540;107;107;107;122;139;38;145;102;122;101;89;104,CGI:chrX:154411398-154412338,Island
cg06135650,chrX,38803663,38803664,MID1IP1;MID1IP1;MID1IP1;MID1IP1;MID1IP1-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000336949.6;ENST00000378474.3;ENST00000457894.4;ENST00000614558.1;ENST00000436893.1,-71;2208;2230;2230;221,CGI:chrX:38803653-38805511,Island
cg06137672,chrX,153794571,153794572,IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000217901.8;ENST00000370092.6;ENST00000370093.4;ENST00000427365.5;ENST00000444450.4;ENST00000461215.2;ENST00000491235.1;ENST00000495356.4;ENST00000497043.4;ENST00000619865.3;ENST00000320857.6;ENST00000370085.3;ENST00000370086.6;ENST00000370087.4;ENST00000460616.4;ENST00000471724.4;ENST00000471880.4;ENST00000482902.4;ENST00000486204.4;ENST00000491833.4,-47;-58;-189;-214;-211;-224;-245;-235;-214;-47;1054;-104;-69;379;-89;-106;-109;121;-478;395,CGI:chrX:153793820-153795102,Island
cg06157408,chrX,49234475,49234476,CACNA1F;CACNA1F;CACNA1F;CCDC22;CCDC22;HSPB1P2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;processed_pseudogene,ENST00000323022.8;ENST00000376251.4;ENST00000376265.2;ENST00000376227.3;ENST00000496651.4;ENST00000448722.1,-1103;-1165;-1103;-993;-1022;27,CGI:chrX:49234083-49234496,Island
cg06158088,chrX,47659105,47659106,UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,57;13;48;3;251;271,CGI:chrX:47658616-47659451,Island
cg06172626,chrX,48539745,48539746,TBC1D25;TBC1D25;TBC1D25;TBC1D25;TBC1D25,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376771.7;ENST00000418627.1;ENST00000476141.1;ENST00000481090.5;ENST00000494495.1,287;-54;-27;7;-26,CGI:chrX:48539371-48540141,Island
cg06206449,chrX,119574446,119574447,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,-91;-22;-126;-104;-101;-303;-133;-118;-118,CGI:chrX:119574330-119575073,Island
cg06252876,chrX,130165974,130165975,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000287295.6;ENST00000319908.6;ENST00000346424.5;ENST00000416073.5;ENST00000527892.4;ENST00000529877.1;ENST00000535724.4,-86;-94;-293;-309;-309;-214;-86,CGI:chrX:130165458-130166131,Island
cg06272245,chrX,48539630,48539631,TBC1D25;TBC1D25;TBC1D25;TBC1D25;TBC1D25,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376771.7;ENST00000418627.1;ENST00000476141.1;ENST00000481090.5;ENST00000494495.1,172;-169;-142;-108;-141,CGI:chrX:48539371-48540141,Island
cg06295352,chrX,130903176,130903177,ENOX2;ENOX2;ENOX2;ENOX2;ENOX2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000338144.6;ENST00000370935.4;ENST00000394363.4;ENST00000432489.4;ENST00000492263.1,142;59;142;29;17,CGI:chrX:130902773-130903184,Island
cg06363801,chrX,134915241,134915242,MOSPD1;MOSPD1;MOSPD1;MOSPD1;MOSPD1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370779.7;ENST00000370783.6;ENST00000462060.1;ENST00000489890.1;ENST00000491609.4,-13;27;-2;-21;-9,CGI:chrX:134914676-134915242,Island
cg06438901,chrX,49080218,49080219,AF196779.12;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376358.3;ENST00000322995.11;ENST00000356463.6;ENST00000376357.1;ENST00000376368.5;ENST00000376372.6;ENST00000396681.7;ENST00000423215.2;ENST00000460501.1;ENST00000465382.4;ENST00000465431.4;ENST00000465806.4;ENST00000471338.4;ENST00000473974.4;ENST00000475880.4;ENST00000476728.4;ENST00000485908.4;ENST00000496803.4,-330;-371;20904;-120;-328;-302;-336;39;20927;-192;-371;20953;-330;-345;-337;-330;-325;-323,CGI:chrX:49079776-49080317,Island
cg06475150,chrX,49080155,49080156,AF196779.12;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45;WDR45,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376358.3;ENST00000322995.11;ENST00000356463.6;ENST00000376357.1;ENST00000376368.5;ENST00000376372.6;ENST00000396681.7;ENST00000423215.2;ENST00000460501.1;ENST00000465382.4;ENST00000465431.4;ENST00000465806.4;ENST00000471338.4;ENST00000473974.4;ENST00000475880.4;ENST00000476728.4;ENST00000485908.4;ENST00000496803.4,-267;-308;20967;-57;-265;-239;-273;102;20990;-129;-308;21016;-267;-282;-274;-267;-262;-260,CGI:chrX:49079776-49080317,Island
cg06481089,chrX,51332945,51332946,NUDT10;NUDT10,protein_coding;protein_coding,ENST00000356450.2;ENST00000376006.6,114;713,CGI:chrX:51332628-51333479,Island
cg06489418,chrX,48476334,48476335,FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000019019.5;ENST00000348411.2;ENST00000396894.7;ENST00000473235.4;ENST00000485486.1;ENST00000487353.4;ENST00000492562.4,172;172;312;115;130;73;180,CGI:chrX:48475841-48476648,Island
cg06505213,chrX,48911814,48911815,SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000247138.8;ENST00000376512.1;ENST00000376515.6;ENST00000376521.4;ENST00000376529.6;ENST00000413561.5;ENST00000445167.5;ENST00000446885.1;ENST00000452555.5;ENST00000616181.3,-173;-144;145;145;-177;145;-157;124;145;145,CGI:chrX:48911486-48911937,Island
cg06510592,chrX,104166597,104166598,FAM199X,protein_coding,ENST00000493442.1,-24,CGI:chrX:104166240-104167111,Island
cg06513359,chrX,47144881,47144882,NDUFB11;NDUFB11;RBM10;RBM10;RBM10;RBM10,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000276062.8;ENST00000377811.3;ENST00000329236.8;ENST00000345781.9;ENST00000377604.6;ENST00000628161.1,158;624;-567;-399;11;-399,CGI:chrX:47144351-47145588,Island
cg06521531,chrX,136147392,136147393,FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370690.6;ENST00000394155.5;ENST00000420362.4;ENST00000458357.4;ENST00000618438.3;ENST00000627383.1;ENST00000627578.1;ENST00000628443.1;ENST00000629039.1;ENST00000630084.1,-74;-9;-275;-692;-145;-1049;-142;-838;689;-1187,CGI:chrX:136146788-136147890,Island
cg06535161,chrX,17860595,17860596,RAI2;RAI2;RAI2;RAI2;RAI2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000331511.4;ENST00000360011.4;ENST00000415486.6;ENST00000451717.4;ENST00000545871.1,642;113;704;743;743,CGI:chrX:17860321-17861141,Island
cg06549249,chrX,129906168,129906169,RP4-537K23.4;UTP14A;UTP14A,antisense;protein_coding;protein_coding,ENST00000432062.1;ENST00000394422.6;ENST00000425117.5,51361;-16;46,CGI:chrX:129905774-129906176,Island
cg06615444,chrX,19515338,19515339,MAP3K15,protein_coding,ENST00000338883.7,-76,CGI:chrX:19515209-19515643,Island
cg06616857,chrX,154490793,154490794,SLC10A3;SLC10A3;SLC10A3;SLC10A3;SLC10A3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000263512.5;ENST00000369649.7;ENST00000393586.1;ENST00000393587.4;ENST00000453912.1,-102;-178;-164;-129;-115,CGI:chrX:154490315-154491116,Island
cg06675660,chrX,129523387,129523388,SMARCA1;SMARCA1;SMARCA1;SMARCA1;SMARCA1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000371121.4;ENST00000371122.7;ENST00000371123.4;ENST00000478420.1;ENST00000617310.3,19;114;99;-140;78,CGI:chrX:129522874-129523429,Island
cg06720669,chrX,109625053,109625054,ACSL4;KCNE5,protein_coding;protein_coding,ENST00000439581.1;ENST00000372101.3,9634;120,CGI:chrX:109624533-109625385,Island
cg06721573,chrX,24465117,24465118,PDK3;PDK3,protein_coding;protein_coding,ENST00000379162.7;ENST00000441463.2,-105;-340,CGI:chrX:24464899-24465830,Island
